Array Size: 2000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),64 Thread(s),
20000,0.01,514,187,157,153,167,170,148,
40000,0.02,246,177,180,148,150,153,118,
60000,0.03,274,168,150,165,145,137,129,
80000,0.04,289,165,174,160,161,106,109,
100000,0.05,272,174,166,143,152,112,108,
120000,0.06,171,174,172,173,138,106,117,
140000,0.07,197,160,161,157,113,99,101,
160000,0.08,185,179,176,150,114,106,100,
180000,0.09,185,168,172,140,106,100,105,
200000,0.1,180,176,157,153,112,95,101,
220000,0.11,167,159,179,151,112,100,98,
240000,0.12,182,177,158,150,107,104,97,
260000,0.13,184,164,155,120,87,91,99,
280000,0.14,171,181,145,122,94,95,97,
300000,0.15,188,167,173,116,89,90,95,
320000,0.16,172,161,158,116,97,88,90,
340000,0.17,182,184,155,115,90,92,93,
360000,0.18,198,155,149,116,96,94,95,
380000,0.19,151,171,154,119,86,93,97,
400000,0.2,170,173,159,122,86,87,91,
420000,0.21,176,185,171,121,94,87,92,
440000,0.22,191,174,177,119,101,91,90,
460000,0.23,170,173,158,116,90,91,90,
480000,0.24,193,177,143,120,86,91,91,
500000,0.25,171,162,156,122,92,90,97,
520000,0.26,155,152,112,88,87,83,86,
540000,0.27,178,154,115,85,86,86,94,
560000,0.28,179,152,116,85,88,84,86,
580000,0.29,179,152,114,86,85,86,83,
600000,0.3,196,167,112,83,85,90,87,
620000,0.31,187,148,115,85,85,88,87,
640000,0.32,179,148,117,84,83,86,87,
660000,0.33,182,155,108,88,87,87,93,
680000,0.34,177,146,111,87,84,88,85,
700000,0.35,154,148,110,84,86,87,88,
720000,0.36,177,152,113,87,84,85,97,
740000,0.37,153,148,114,84,89,85,89,
760000,0.38,177,149,116,85,86,88,87,
780000,0.39,176,148,115,88,85,85,86,
800000,0.4,154,151,120,85,86,93,87,
820000,0.41,178,151,109,86,84,86,86,
840000,0.42,180,148,111,84,82,85,86,
860000,0.43,181,149,112,90,86,88,94,
880000,0.44,153,150,120,87,82,84,87,
900000,0.45,174,148,108,85,85,86,87,
920000,0.46,176,151,119,85,92,86,85,
940000,0.47,154,146,116,86,85,84,85,
960000,0.48,152,148,115,83,85,85,86,
980000,0.49,178,144,113,84,88,89,86,
1000000,0.5,175,148,116,86,84,87,85,

Array Size: 4000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),64 Thread(s),
40000,0.01,382,353,356,338,338,351,308,
80000,0.02,353,308,344,354,331,287,256,
120000,0.03,358,323,356,327,342,322,251,
160000,0.04,390,330,318,312,311,233,237,
200000,0.05,375,337,345,306,322,245,232,
240000,0.06,366,349,343,312,329,230,238,
280000,0.07,386,321,314,294,225,215,220,
320000,0.08,360,368,341,316,242,201,208,
360000,0.09,336,376,349,329,239,205,216,
400000,0.1,377,326,329,306,239,215,219,
440000,0.11,382,336,344,342,242,203,218,
480000,0.12,323,304,372,346,229,220,233,
520000,0.13,362,331,351,257,188,197,199,
560000,0.14,346,334,337,264,197,197,187,
600000,0.15,356,338,308,248,194,202,200,
640000,0.16,391,343,349,257,205,206,195,
680000,0.17,400,347,366,258,188,197,197,
720000,0.18,396,328,323,262,188,213,191,
760000,0.19,322,340,329,243,193,191,192,
800000,0.2,384,339,334,251,192,187,197,
840000,0.21,388,350,372,248,188,188,193,
880000,0.22,380,343,331,253,211,192,191,
920000,0.23,347,325,318,256,189,201,203,
960000,0.24,354,304,333,258,217,192,194,
1000000,0.25,348,344,321,244,191,188,193,
1040000,0.26,319,309,240,186,181,186,186,
1080000,0.27,356,315,234,184,186,178,184,
1120000,0.28,332,314,243,185,179,184,187,
1160000,0.29,318,312,258,188,182,187,180,
1200000,0.3,361,319,249,192,186,181,185,
1240000,0.31,367,314,236,183,181,181,187,
1280000,0.32,363,316,235,195,190,189,179,
1320000,0.33,313,306,244,182,183,190,184,
1360000,0.34,362,323,246,187,182,189,200,
1400000,0.35,360,313,249,178,185,179,201,
1440000,0.36,312,306,251,185,183,183,191,
1480000,0.37,308,312,246,183,187,185,205,
1520000,0.38,359,308,238,185,187,185,187,
