Array Size: 1000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),
10000,0.01,226,73,73,69,61,58,
30000,0.03,84,61,58,64,59,53,
50000,0.05,104,65,61,52,54,39,
70000,0.07,111,65,65,70,39,36,
90000,0.09,76,57,68,66,39,32,
110000,0.11,80,62,63,59,38,31,
130000,0.13,84,57,60,48,30,30,
150000,0.15,94,72,62,44,33,32,
170000,0.17,105,66,66,42,31,34,
190000,0.19,92,62,66,45,31,30,
210000,0.21,58,65,62,45,30,31,
230000,0.23,68,62,54,40,30,30,
250000,0.25,79,63,65,41,29,32,
270000,0.27,79,58,48,32,31,32,
290000,0.29,63,58,45,32,33,34,
310000,0.31,61,59,48,35,30,31,
330000,0.33,61,70,46,31,35,31,
350000,0.35,61,58,45,32,33,32,
370000,0.37,79,69,44,31,32,31,
390000,0.39,63,59,47,31,31,33,
410000,0.41,75,61,46,33,30,31,
430000,0.43,77,61,46,31,31,31,
450000,0.45,74,59,46,31,32,30,
470000,0.47,74,60,48,34,33,33,
490000,0.49,73,65,48,30,30,32,
510000,0.51,68,38,37,36,37,37,
530000,0.53,66,39,36,38,37,36,
550000,0.55,65,38,40,50,36,36,
570000,0.57,66,38,38,51,38,35,
590000,0.59,66,40,36,37,38,37,
610000,0.61,69,37,40,35,37,37,
630000,0.63,63,40,40,37,35,36,
650000,0.65,67,40,37,37,36,36,
670000,0.67,63,37,39,37,37,37,
690000,0.69,62,39,37,36,38,36,
710000,0.71,78,39,39,38,36,37,
730000,0.73,75,38,37,38,37,39,
750000,0.75,64,36,35,39,35,36,
770000,0.77,64,36,39,37,37,39,
790000,0.79,69,39,40,39,39,37,

