Array Size: 2000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),
20000,0.01,758,310,301,294,
30000,0.015,592,314,300,296,
40000,0.02,303,287,280,270,
50000,0.025,302,282,282,272,
60000,0.03,305,274,279,271,
70000,0.035,277,282,270,261,
80000,0.04,275,280,261,255,
90000,0.045,288,273,255,261,
100000,0.05,286,272,256,276,
110000,0.055,278,272,259,255,
120000,0.06,281,255,255,253,
130000,0.065,282,254,247,231,
140000,0.07,267,248,253,252,
150000,0.075,247,273,246,253,
160000,0.08,253,242,270,229,
170000,0.085,286,248,254,230,
180000,0.09,249,235,271,244,
190000,0.095,252,242,254,235,
200000,0.1,275,252,284,258,
210000,0.105,295,262,260,237,
220000,0.11,247,260,256,258,
230000,0.115,272,247,250,220,
240000,0.12,254,274,257,259,
250000,0.125,283,260,269,231,
260000,0.13,256,233,238,199,
270000,0.135,256,234,235,188,
280000,0.14,250,238,226,194,
290000,0.145,236,242,241,198,
300000,0.15,257,246,249,188,
310000,0.155,254,256,237,209,
320000,0.16,266,263,260,192,
330000,0.165,249,225,238,194,
340000,0.17,271,239,233,198,
350000,0.175,255,221,224,191,
360000,0.18,249,238,236,193,
370000,0.185,266,241,241,191,
380000,0.19,256,235,239,192,
390000,0.195,255,240,236,191,
400000,0.2,262,258,233,200,
410000,0.205,265,254,245,191,
420000,0.21,278,257,247,197,
430000,0.215,260,241,233,191,
440000,0.22,254,254,244,194,
450000,0.225,258,246,249,195,
460000,0.23,262,233,241,196,
470000,0.235,236,253,228,191,
480000,0.24,263,238,256,198,
490000,0.245,249,243,254,189,
500000,0.25,250,243,244,199,
510000,0.255,240,208,163,138,
520000,0.26,251,214,162,140,
530000,0.265,223,212,180,137,
540000,0.27,238,215,181,147,
550000,0.275,245,215,173,142,
560000,0.28,242,238,168,143,
570000,0.285,243,211,172,140,
580000,0.29,215,217,166,144,
590000,0.295,242,220,175,140,
600000,0.3,242,217,164,138,
610000,0.305,214,214,166,137,
620000,0.31,242,219,165,139,
630000,0.315,245,220,180,146,
640000,0.32,219,213,168,139,
650000,0.325,240,216,166,136,
660000,0.33,218,213,164,140,
670000,0.335,222,214,166,145,
680000,0.34,221,212,173,141,
690000,0.345,217,216,170,140,
700000,0.35,215,214,170,140,
710000,0.355,220,216,165,137,
720000,0.36,243,216,166,141,
730000,0.365,243,239,167,137,
740000,0.37,234,213,166,140,
750000,0.375,244,216,162,138,
760000,0.38,241,217,170,145,
770000,0.385,217,212,166,136,
780000,0.39,225,213,164,138,
790000,0.395,223,214,164,139,
800000,0.4,246,214,166,138,
810000,0.405,246,217,172,140,
820000,0.41,220,213,168,140,
830000,0.415,237,210,161,137,
840000,0.42,222,213,170,145,
850000,0.425,228,222,170,144,
860000,0.43,221,221,172,140,
870000,0.435,240,210,171,139,
880000,0.44,220,213,170,145,
890000,0.445,221,214,175,157,
900000,0.45,224,222,178,140,
910000,0.455,218,214,170,137,
920000,0.46,218,213,193,140,
930000,0.465,213,215,174,141,
940000,0.47,237,217,173,145,
950000,0.475,217,217,171,140,
960000,0.48,237,213,173,139,
970000,0.485,242,210,167,139,
980000,0.49,243,220,170,143,
990000,0.495,245,216,174,139,
1000000,0.5,220,216,174,143,
1010000,0.505,179,125,126,127,
1020000,0.51,175,124,123,127,
1030000,0.515,174,125,125,125,
1040000,0.52,182,126,125,131,
1050000,0.525,180,124,125,129,
1060000,0.53,186,131,127,125,
1070000,0.535,180,129,119,121,
1080000,0.54,177,135,121,128,
1090000,0.545,178,132,122,124,
1100000,0.55,185,137,126,128,
1110000,0.555,184,135,125,125,
1120000,0.56,180,122,122,133,
1130000,0.565,190,135,127,126,
1140000,0.57,182,125,123,130,
1150000,0.575,173,125,123,126,
1160000,0.58,175,123,120,127,
1170000,0.585,172,123,121,127,
1180000,0.59,177,123,123,124,
1190000,0.595,175,126,125,130,
1200000,0.6,177,129,130,126,
1210000,0.605,171,122,125,134,
1220000,0.61,174,126,126,123,
1230000,0.615,176,126,131,127,
1240000,0.62,177,131,122,127,
1250000,0.625,181,123,120,123,
1260000,0.63,178,125,123,129,
1270000,0.635,181,129,126,124,
1280000,0.64,183,122,123,128,
1290000,0.645,176,129,122,123,
1300000,0.65,181,128,126,125,
1310000,0.655,178,135,123,125,
1320000,0.66,173,127,126,127,
1330000,0.665,182,122,121,129,
1340000,0.67,183,130,120,125,
1350000,0.675,176,126,121,124,
1360000,0.68,173,124,123,127,
1370000,0.685,173,125,119,126,
1380000,0.69,173,126,125,124,
1390000,0.695,174,124,119,125,
1400000,0.7,183,124,126,128,
1410000,0.705,181,129,120,124,
1420000,0.71,176,123,119,125,
1430000,0.715,177,120,120,126,
1440000,0.72,175,124,120,127,
