Array Size: 50000000,
Cutoff,Cutoff/arraySize,4 Thread(s),8 Thread(s),
500000,0.01,4956,4249,
1500000,0.03,4386,4041,
2500000,0.05,4286,8042,
3500000,0.07,4541,7175,
4500000,0.09,3851,3773,
5500000,0.11,3847,4593,
6500000,0.13,4012,2689,
7500000,0.15,4088,5459,
8500000,0.17,3549,5656,
9500000,0.19,3758,4084,
10500000,0.21,4077,2743,
11500000,0.23,4178,5378,
12500000,0.25,3943,5162,
13500000,0.27,2744,1938,
14500000,0.29,2773,1946,
15500000,0.31,2891,3390,
16500000,0.33,2857,5541,
17500000,0.35,2860,1902,
18500000,0.37,2753,1894,
19500000,0.39,2881,2290,
20500000,0.41,2878,4357,
21500000,0.43,2888,4191,
22500000,0.45,2872,1899,
23500000,0.47,2813,1886,
24500000,0.49,3030,2669,
25500000,0.51,2342,4271,
26500000,0.53,2339,4505,
27500000,0.55,2362,3818,
28500000,0.57,2347,2312,
29500000,0.59,2382,2321,
30500000,0.61,2391,2317,
31500000,0.63,2392,2325,
32500000,0.65,2359,2505,
33500000,0.67,2352,2688,
34500000,0.69,2346,3691,
35500000,0.71,2359,4520,
36500000,0.73,2355,4582,
37500000,0.75,2338,2385,
38500000,0.77,2312,2291,
39500000,0.79,2370,2294,
40500000,0.81,2355,2329,
41500000,0.83,2380,2319,
42500000,0.85,2368,2702,
43500000,0.87,2384,3008,
44500000,0.89,2381,4669,

